Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C,Patent Number,Kind Code,Source,norm_number
checked,1,151,,,,,,,US 20250026491 A1,2025-01-23,86692903,22,ARTIFICIAL INTELLIGENCE TECHNIQUES FOR AUTONOMOUS OPERATION OF PASSENGER BOARDING BRIDGES,B64F1/305;B64F1/3055;B64F1/36;G01C21/20;G06T7/70;G06V20/54;G08G5/22;G08G5/51;G08G5/727;G08G5/80,G01C3/08;G06T2207/10016;G06T2207/10048;G06T2207/20081;G06T2207/20084;G06V10/774,Tatton; Stephen C.,"Oshkosh AeroTech, LLC",18/908453,2024-10-07,,,1/1,,"Oshkosh AeroTech, LLC",,,28.799786,,20250026491,A1,US-PGPUB,20250026491
checked,,153,,,,,,,US 20250028338 A1,2025-01-23,88243144,55,"ROBOT-FRIENDLY BUILDING, METHOD AND SYSTEM FOR MONITORING ROBOT OPERATION",G05D1/2246;B25J9/16;B25J13/00;G05D1/435;G05D1/692;G05D1/6987;G06T11/10;G06T11/65,G05D2107/60;G05D2109/10;G06T2200/24,CHOI; Hak Seung et al.,NAVER CORPORATION,18/908091,2024-10-07,,,1/1,,NAVER CORPORATION,,,32.867584,,20250028338,A1,US-PGPUB,20250028338
checked,,156,,,,,,,US 20250022076 A1,2025-01-16,78333170,22,METHOD AND SYSTEM FOR MANAGING CONSTRUCTION PROJECTS WITH AUTOMATIC GENERATION OF SMART CONTRACT,G06Q20/389;G06Q10/06313;G06Q20/40;G06Q10/06;G06Q10/067;G06Q50/08,,FURLANI; Federico,,18/681024,2022-07-27,,,1/1,,Build Trust S.R.L.,,,15.754177,,20250022076,A1,US-PGPUB,20250022076
checked,1,157,,,,,,,US 20250022273 A1,2025-01-16,94211448,21,CONTENT-AWARE AI-ASSISTED VIDEO SUMMARIZATION,G06V20/47;G06V30/19;G06T7/0002;G06T7/246;G06V20/176;G06V20/41;G06V20/46;G06V20/49,G06T2207/10016;G06T2207/20056;G06T2207/20081;G06T2207/30184;G06V2201/10,VISHWAKARMA; Rahul et al.,,18/221766,2023-07-13,,,1/1,,"HITACHI, Ltd.",,,16.397842,,20250022273,A1,US-PGPUB,20250022273
checked,1,159,,,,,,,US 20250022373 A1,2025-01-16,94211572,23,All Weather Traffic Monitoring with Roadside Infrastructure,G06N3/0475;G08G1/164;G01S7/417;G01S13/91;G01S13/931;G06N3/045;G08G1/0116;G08G1/166,G01S2013/9316,SUR; SANJIB et al.,,18/635295,2024-04-15,,,1/1,,UNIVERSITY OF SOUTH CAROLINA,,,29.319103,,20250022373,A1,US-PGPUB,20250022373
checked,,161,,,,,,,US 20250018939 A1,2025-01-16,94211687,15,INFRASTRUCTURE COOPERATIVE AUTONOMOUS DRIVING SYSTEM AND METHOD OF GENERATING TRAJECTORY CONSTRAINTS FOR COLLISION AVOIDANCE IN AUTONOMOUS VEHICLES BY USING THE SYSTEM,B60W60/0027;B60W30/0956,B60W2556/45;B60W2556/40,NOH; Jinhong et al.,Electronics and Telecommunications Research Institute,18/678658,2024-05-30,,,1/1,,Electronics and Telecommunications Research Institute,,,22.529018,,20250018939,A1,US-PGPUB,20250018939
checked,,164,,,,,,,US 20250014161 A1,2025-01-09,86397833,40,BUILDING ENVELOPE REMOTE SENSING DRONE SYSTEM AND METHOD,G06V20/194;G06T7/33;G06V20/176;G06V20/17;G06T7/0002;G01J5/10;G06T7/11;G06V20/653;G06T7/344;G05D1/689;G06V10/753;G06T7/0004;G06T7/75;G06V10/764,G06T2207/30184;G06T2207/10044;G06T2207/10036;G01J2005/0077;G06T2207/20212;G06T2207/20076;G06T2207/10048;G06T2207/20084;G06T2207/10032;G05D2105/89,RAKHA; Tarek et al.,,18/711826,2022-11-19,,,1/1,,"GEORGIA TECH RESEARCH CORPORATION,SYRACUSE UNIVERSITY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY",,,48.401794,,20250014161,A1,US-PGPUB,20250014161
checked,,165,,,,,,,US 20240426471 A1,2024-12-26,93928556,36,VEHICLE TRAFFIC MONITORING DEVICE SYSTEMS AND METHODS,G08G1/096775;H04N23/69;G08G1/04;G08G1/0112;F21V33/0052;H04W4/38;G08G1/0141;G08G1/0133;G08G1/0116;G06F9/505;G08G1/0125;G06F9/5072;G06F11/3006;H04W4/44,G06F2209/509,Anand; Sudir,,18/743735,2024-06-14,,,1/1,,DISH Wireless L.L.C.,,,35.88812,,20240426471,A1,US-PGPUB,20240426471
checked,,166,,,,,,,US 20240427326 A1,2024-12-26,93928716,13,SHARING UAV FLIGHT DATA WITH REMOTE OBSERVERS,B64U10/10;G05D1/0038;G05D1/0044;G08G5/55;G08G5/57,B64U2101/26;B64U2101/30;B64U2201/20,LAPOINTE; Jean-Francois,,18/213377,2023-06-23,,,1/1,,NATIONAL RESEARCH COUNCIL OF CANADA,,,18.403248,,20240427326,A1,US-PGPUB,20240427326
checked,,167,,,,,,,US 20240430387 A1,2024-12-26,93929505,36,VEHICLE TRAFFIC MONITORING DEVICE SYSTEMS AND METHODS,G06V20/54;H04L65/60;H04N23/69;H04N7/183;H04N23/61,,Anand; Sudir,,18/605300,2024-03-14,,,1/1,,DISH Wireless L.L.C.,,,26.298822,,20240430387,A1,US-PGPUB,20240430387
checked,,168,,,,,,,US 20240428681 A1,2024-12-26,93929785,37,VEHICLE TRAFFIC MONITORING DEVICE SYSTEMS AND METHODS,G08G1/0133;G08G1/0175;G08G1/091;G08G1/096716;G08G1/096775;G08G1/0116;G08G1/04;G08G1/0112;G08G1/0141,,Anand; Sudir,,18/743748,2024-06-14,,,1/1,,DISH Wireless L.L.C.,,,26.257008,,20240428681,A1,US-PGPUB,20240428681
checked,1,169,,,,,,,US 20240418530 A1,2024-12-19,93845156,50,Automated Discovery and Monitoring of Uncrewed Aerial Vehicle Ground-Support Infrastructure,G01C21/3811;G01C21/3852;G01C21/3859;G05D1/101,,Hammond; Marcus et al.,,18/210331,2023-06-15,,,1/1,,Wing Aviation LLC,,,26.83694,,20240418530,A1,US-PGPUB,20240418530
checked,,171,,,,,,,US 20240409114 A1,2024-12-12,81078799,29,CLOUD-BASED FUNCTION ALLOCATION SYSTEM FOR DISTRIBUTED DRIVING INTELLIGENCE,G06V20/56;B60W60/001;H04W4/44;B60W40/06;H04L67/12;B60W60/00;B60W40/04;G06F18/251,B60W2556/45;B60W2756/10;B60W2555/20,Ran; Bin et al.,,18/809933,2024-08-20,,,1/1,,CAVH LLC,,,11.675144,,20240409114,A1,US-PGPUB,20240409114
checked,1,172,,,,,,,US 20240404203 A1,2024-12-05,83319344,12,AUTOMATED AERIAL DATA CAPTURE FOR 3D MODELING OF UNKNOWN OBJECTS IN UNKNOWN ENVIRONMENTS,G01C11/00;G06T17/205;G01C11/025;G01C15/002;G01C21/20;G05D1/689;G05D1/6987;G06T17/005;G06V20/17,G05D2105/87;G05D2109/20;G06T2200/08;G06T2200/24;G06T2210/56,Rosca; Justinian et al.,Siemens Corporation,18/695971,2022-08-24,,,1/1,,Siemens Corporation,,,23.703121,,20240404203,A1,US-PGPUB,20240404203
checked,,174,,,,,,,US 20240402113 A1,2024-12-05,93653096,37,THERMO-ELECTRICAL WIRELESS SENSOR FOR HIGH-FREQUENCY ELECTRICAL IMPEDANCE WITH SOLAR RECHARGE,G01N33/383;G01N27/046,,Maddi; Sai Anudeep Reddy et al.,,18/794309,2024-08-05,,,1/1,,"Sensytec, Inc.",,,10.385522,,20240402113,A1,US-PGPUB,20240402113
checked,1,176,,,,,,,US 20240395047 A1,2024-11-28,93565079,9,Egress Obstruction Detection via Computer Vision,G06V10/751;G06V20/52;G06V10/32,,Idowu; Ismail A. et al.,,18/672821,2024-05-23,,,1/1,,Morgan State University,,,69.95706,,20240395047,A1,US-PGPUB,20240395047
checked,,178,,,,,,,US 20240386245 A1,2024-11-21,93464665,31,SYNTHETIC TRAINING DATA GENERATION FOR BUILDING MANAGEMENT SYSTEM WITH ARTIFICIAL INTELLIGENCE-BASED RISK MONITORING,G06N3/08;G06N3/0455;G06N3/045;G06N3/047,G05B15/02,Makowski; Gregory A. et al.,,18/663793,2024-05-14,,,1/1,,Tyco Fire & Security GmbH,,,31.187311,,20240386245,A1,US-PGPUB,20240386245
checked,2,179,,,,,,,US 20240381582 A1,2024-11-14,93379940,19,INTELLIGENT COMPONENTS OF A DATA CENTER,H05K7/1498;H05K7/20745;H05K7/1491,,Ganju; Siddha et al.,,18/144971,2023-05-09,,,1/1,,NVIDIA CORPORATION,,,14.329935,,20240381582,A1,US-PGPUB,20240381582
checked,,181,,,,,,,US 20260129807 A1,2026-05-07,93379940,18,INTELLIGENT COMPONENTS OF A DATA CENTER,H05K7/1498;H05K7/20745;H05K7/1491,,GANJU; Siddha et al.,NVIDIA CORPORATION,19/439973,2026-01-05,,,1/1,,NVIDIA CORPORATION,,,14.329935,,20260129807,A1,US-PGPUB,20260129807
checked,1,183,,,,,,,US 20240369083 A1,2024-11-07,93293191,11,HYDRAULIC SYSTEM WITH A FUNCTIONAL SAFETY FEATURE FOR DEMOLITION ROBOTS,E02F9/2221;E02F9/2228;E02F9/226;F15B11/161;F15B11/165;F15B20/00;F15B20/002;F15B20/008,E02F9/2296;F15B19/005;F15B2211/20515;F15B2211/20546;F15B2211/20553;F15B2211/327;F15B2211/6051;F15B2211/6052;F15B2211/6313;F15B2211/6651;F15B2211/6652;F15B2211/7142;F15B2211/857;F15B2211/862;F15B2211/8636;F15B2211/8643;F15B2211/8755,Varshosaz; Masoud,,18/653279,2024-05-02,,,1/1,,HUSQVARNA AB,,,18.693487,,20240369083,A1,US-PGPUB,20240369083
checked,,185,,,,,,,US 20240339026 A1,2024-10-10,80080205,44,AN INTELLIGENT FIRE & OCCUPANT SAFETY SYSTEM AND METHOD,G08B17/12;G08B21/02;G08B31/00;G08B25/14;G08B17/117;G08B7/066;G08B21/22,,Kelly; Andrew Leslie,,18/294671,2022-06-27,,,1/1,,Firesapien Technologies Ltd,,,29.61891,,20240339026,A1,US-PGPUB,20240339026
checked,2,186,,,,,,,US 20240333578 A1,2024-10-03,90829227,34,REAL-TIME MONITORING ECOSYSTEM,G06N7/01;H04L41/0631;G06N3/02;G06N3/044;G06N3/08;G06N5/01;G06N20/20;H04L41/16,,Mehta; Japan et al.,,18/129306,2023-03-31,,,1/1,,"CITIBANK, N.A.",,,13.060096,,20240333578,A1,US-PGPUB,20240333578
checked,,188,,,,,,,US 20250323822 A1,2025-10-16,90829227,34,REAL-TIME MONITORING ECOSYSTEM,G06N7/01;H04L41/0631;G06N3/02;G06N3/044;G06N3/08;G06N5/01;G06N20/20;H04L41/16,,Mehta; Japan et al.,"Citibank, N.A.",19/248372,2025-06-24,,,1/1,,"Citibank, N.A.",,,13.060096,,20250323822,A1,US-PGPUB,20250323822
checked,1,189,,,,,,,US 20240319047 A1,2024-09-26,87053911,15,ULTRA-LARGE PHYSICAL SIMULATION FACILITY FOR DEEP ENGINEERING DISASTERS,G01M99/005;G06F30/20,E21F17/00;G01N2203/0003;G01N2203/001;G01N2203/0019;G01N2203/0048;G01N2203/0067;G01N2203/0226;G01N2203/0256;G01N2203/0641;G01N2203/0658;G01N2203/0676;G01N2203/0682;G01N3/068;G01N3/12,FENG; Xiating et al.,,18/028352,2023-02-08,,,1/1,,Northeastern University,,,13.546314,,20240319047,A1,US-PGPUB,20240319047
checked,,192,,,,,,,US 20240302003 A1,2024-09-12,76478888,12,"INDEPENDENT SYSTEM FOR INSPECTION, MONITORING AND SURVEILLANCE OF LONG INFRASTRUCTURE AND THE ENVIRONMENT THEREOF",B61L23/04;B61L27/53;B64U50/37;B64U50/38;B64U70/90;B64U70/99;F17D5/00;H02G1/02,B61L25/06;B64U2101/26;B64U2101/31;F17D3/00;H02G1/02,TORRES OMAÑA; Adrián et al.,,18/273109,2022-01-14,,,1/1,,"FUENTEBLANDOR HOLDINGS, S.L.",,,26.16006,,20240302003,A1,US-PGPUB,20240302003
checked,,193,,,,,,,US 20240294189 A1,2024-09-05,90368355,12,CRASH AVOIDANCE VIA INTELLIGENT INFRASTRUCTURE,B60W30/09;G08G1/164;G08G1/096725;G08G1/096783;G08G1/0116;B60W50/0205;B60W60/0015;G08G1/166,B60W2554/4041;B60W2552/00;B60W2050/0215,Stählin; Ulrich et al.,"Continental Automotive Systems, Inc.",18/176993,2023-03-01,,,1/1,,"Continental Automotive Systems, Inc.",,,28.387451,,20240294189,A1,US-PGPUB,20240294189
checked,,194,,,,,,,US 20240294177 A1,2024-09-05,90718483,11,CRASH AVOIDANCE VIA INTELLIGENT INFRASTRUCTURE,G08G1/166;G08G1/164;B60W60/0016;G08G1/096725;G08G1/096783;B60W50/0205;B60W30/09;G08G1/0116,B60W2050/0215;B60W2556/45,Stählin; Ulrich et al.,"Continental Automotive Systems, Inc.",18/177008,2023-03-01,,,1/1,,"Continental Automotive Systems, Inc.",,,28.223007,,20240294177,A1,US-PGPUB,20240294177
checked,1,195,,,,,,,US 20240289112 A1,2024-08-29,92460529,27,PROGRESSIVE DELIVERY OF CLUSTER INFRASTRUCTURE UPDATES,G06F8/65,B60W60/001,Langefeld; Jonathan et al.,GM Cruise Holdings LLC,18/176307,2023-02-28,,,1/1,,GM Cruise Holdings LLC,,,18.14946,,20240289112,A1,US-PGPUB,20240289112
checked,,197,,,,,,,US 20240286624 A1,2024-08-29,92461951,21,SCALABLE AND RELIABLE MONITORING OF PROTECTED ENDPOINTS,G05B23/00,G05B2219/36037,Kaveri Poompatnam Chandrasekaran; Nitish Krishna et al.,GM Cruise Holdings LLC,18/175754,2023-02-28,,,1/1,,GM Cruise Holdings LLC,,,16.370443,,20240286624,A1,US-PGPUB,20240286624
checked,1,198,,,,,,,US 20240264596 A1,2024-08-08,71731215,19,ROBOT CAPABLE OF IDENTIFYING TUNNELS,A47L11/4011;A47L9/30;B25J11/0085;G05D1/0242;G05D1/0248;G05D1/247;G05D1/622;G05D1/648;G06T7/521,A47L2201/04;A47L2201/06,Lin; Shih-Chin et al.,,18/637491,2024-04-17,,,1/1,,PixArt Imaging Inc.,,,20.66659,,20240264596,A1,US-PGPUB,20240264596
checked,,200,,,,,,,US 20240265319 A1,2024-08-08,92119730,26,Automatically Updating Scheduling Software with Notification & Alerts,G06Q10/063114;G06Q10/06;G06Q10/06313;G06Q10/103;G06Q50/08,,MAY; Joshua,,18/420758,2024-01-24,,,1/1,,MAY; Joshua,,,39.863564,,20240265319,A1,US-PGPUB,20240265319
checked,,201,,,,,,,US 20240263544 A1,2024-08-08,92120248,10,EFFICIENT METHOD FOR HIGH RESOLUTION IMAGING AND RECONNAISSANCE OF BURIED SUBSURFACE PIPELINE AND OTHER INFRASTRUCUTRE USING ABOVE SURFACE GEOPHYSICAL SENSORS AND ARTIFICIAL INTELLIGENCE,E21B43/0122,,Mukherjee; Souvik,,18/106351,2023-02-06,,,1/1,,Mukherjee; Souvik,,,29.639847,,20240263544,A1,US-PGPUB,20240263544
checked,,202,,,,,,,US 20240256725 A1,2024-08-01,91963271,16,INFRASTRUCTURE ASSET PRIORITIZATION SOFTWARE TECHNOLOGIES FOR STEEL AND CONCRETE ASSETS,G06F30/13,,MCDONALD; Chris Kohl et al.,"B&N Capital Suppliers, LLC",18/426180,2024-01-29,,,1/1,,"B&N Capital Suppliers, LLC",,,38.674664,,20240256725,A1,US-PGPUB,20240256725
checked,,203,,,,,,,US 20240246531 A1,2024-07-25,91951979,29,AUTONOMOUS VEHICLES OPERATING IN ROAD TUNNELS AND SIGNAL INTERRUPTION,B60W60/0015;B60W30/09,B60W2556/45,Lennartsson; Anders et al.,,18/159242,2023-01-25,,,1/1,,Volvo Car Corporation,,,24.141754,,20240246531,A1,US-PGPUB,20240246531
checked,,204,,,,,,,US 20240210330 A1,2024-06-27,78468727,37,SYSTEMS AND METHODS FOR ARTIFICIAL INTELLIGENCE POWERED INSPECTIONS AND PREDICTIVE ANALYSES,G06T7/00;G01N21/95;G05B23/0283,E01D22/00,Sun; Harris et al.,RASPECT INTELLIGENT INSPECTION LIMITED,18/568800,2021-05-10,,,1/1,,Sun; Chi Chun,,,31.214355,,20240210330,A1,US-PGPUB,20240210330
checked,,205,,,,,,,US 20240185608 A1,2024-06-06,91279973,23,SCAFFOLDING SAFETY COMPLIANCE DETECTION USING COMPUTER VISION,G06V10/955;G06T7/70;G06V20/52;G06V40/10;G06V20/41,G06T2207/30108;G06T2207/10016;G06T2207/30232;G06T2207/30196,Alanazi; Abdullah M. et al.,,18/073353,2022-12-01,,,1/1,,Saudi Arabian Oil Company,,,49.121273,,20240185608,A1,US-PGPUB,20240185608
checked,,206,,,,,,,US 20240168825 A1,2024-05-23,81474523,19,"Service Management Method, Platform, Service Delivery System, and Computer Storage Medium",G06F9/5072;G06F9/466;G06F9/4856;G06F9/45558;G06F9/485;G06F9/44521;G06N20/00;G06N3/08;G06F11/3006;G06F9/5077,G06F2009/45575;G06F2009/45562,WANG; Xiaohong,,18/282802,2023-01-09,,,1/1,,"BOE Technology Group Co., Ltd.",,,11.964771,,20240168825,A1,US-PGPUB,20240168825
checked,,207,,,,,,,US 20240168479 A1,2024-05-23,91079727,12,VEHICULAR WORKSITE MONITORING AND ASSISTANCE,G01C21/20;G01C21/3461;G05D1/0214;G05D1/101;G05D1/229;G05D1/689;G05D1/692;G05D1/6985,G05D2105/89;G05D2107/90;G05D2109/10;G05D2109/254;G08G5/55;G08G5/57,Salter; Stuart C. et al.,,17/991370,2022-11-21,,,1/1,,"FORD GLOBAL TECHNOLOGIES, LLC",,,17.479092,,20240168479,A1,US-PGPUB,20240168479
checked,1,208,,,,,,,US 20240160205 A1,2024-05-16,88695604,29,SYSTEMS AND METHODS TO ENSURE SAFE DRIVING BEHAVIORS ASSOCIATED WITH REMOTE DRIVING APPLICATIONS,B60W60/0015;G05D1/0038;G05D1/0044;G05D1/2243;G05D1/2249;G05D1/82;G06V20/56,B60W2420/403;B60W2420/54;B60W2556/45;G05D2105/20;G05D2107/13;G05D2109/10,Scelsi; Fabrizio et al.,Vay Technology GmbH,18/054328,2022-11-10,,,1/1,,Vay Technology GmbH,,,14.040878,,20240160205,A1,US-PGPUB,20240160205
checked,1,210,,,,,,,US 20240153264 A1,2024-05-09,87561209,12,INUNDATION AND OVERFLOW PREDICTION SYSTEM USING DRONE IMAGES AND ARTIFICIAL INTELLIGENCE,G06T17/05;G06V20/17,,Ryu; Jungrim et al.,,18/501020,2023-11-02,,,1/1,,FMworks Inc.,,,19.3013,,20240153264,A1,US-PGPUB,20240153264
checked,,212,,,,,,,US 20240141788 A1,2024-05-02,81143163,23,SYSTEMS AND METHODS FOR MEASURING MINE TUNNEL ENVIRONMENTAL INFORMATION,E21F1/00;E21F17/18,,Sun; Yong et al.,,17/976533,2022-10-28,,,1/1,,CCTEG Shenyang Research Institute,,,17.813635,,20240141788,A1,US-PGPUB,20240141788
checked,1,213,,,,,,,US 20240146619 A1,2024-05-02,90833434,18,SYSTEM AND METHODS FOR PROACTIVE NETWORK INFRASTRUCTURE COMPONENT MONITORING AND REPLACEMENT,H04L41/16;H04L41/22;H04L43/045,H04L41/16,Tordilla; Don et al.,BANK OF AMERICA CORPORATION,17/978459,2022-11-01,,,1/1,,BANK OF AMERICA CORPORATION,,,24.643003,,20240146619,A1,US-PGPUB,20240146619
checked,,215,,,,,,,US 20240125091 A1,2024-04-18,83455756,23,Construction Machine,E02F9/205;E02F9/24;E02F9/26;E02F9/265;E02F9/267;G08B5/36,E02F9/2228;E02F9/2285;E02F9/2292;E02F9/2296,NISHIKAWA; Shinji et al.,,18/277842,2021-12-16,,,1/1,,"Hitachi Construction Machinery Co., Ltd.",,,15.3622675,,20240125091,A1,US-PGPUB,20240125091
checked,1,216,,,,,,,US 20240119201 A1,2024-04-11,94192626,81,ARTIFICIAL INTELLIGENCE DETERMINATION OF BUILDING SMOKE AND INDOOR AIR QUALITY MANAGEMENT,G06F30/13;G06F30/27;G06N3/08;G06N3/0475,,Foley; Matthew et al.,"CodeComply.Ai, Corp.",18/508722,2023-11-14,,,1/1,,"CodeComply.Ai, Corp.",,,16.581818,,20240119201,A1,US-PGPUB,20240119201
checked,,218,,,,,,,US 20240103052 A1,2024-03-28,83571990,8,NON-INTRUSIVE LOAD MONITORING METHOD AND DEVICE BASED ON PHYSICS-INFORMED NEURAL NETWORK,G06N3/08;G06N3/084;G06N3/045;G01R21/001;G06N3/042;G01R21/133,,HUANG; GANG et al.,,18/097234,2023-01-14,,,1/1,,ZHEJIANG LAB,,,29.183119,,20240103052,A1,US-PGPUB,20240103052
checked,,219,,,,,,,US 20240102683 A1,2024-03-28,90360043,23,SYSTEMS AND METHODS FOR REFRIGERANT UNIT LIFE CYCLE MANAGEMENT,F24F11/36;F24F11/52;F25B45/00;F24F11/64,F25B2345/002;F25B2345/001,Aschow; Evan et al.,,17/952893,2022-09-26,,,1/1,,"Effecterra, Inc.",,,29.012009,,20240102683,A1,US-PGPUB,20240102683
checked,1,220,,,,,,,US 20240095453 A1,2024-03-21,90243835,10,CROWD WISDOM BASED UNIVERSAL CONVERSATIONAL SYSTEM,G06F40/295;G06F40/30;G06F40/35;G06F40/40;G06F40/56;H04L51/02,G06F16/3329;G06N20/00;G06N20/20,SIVAKUMAR; NARENDRAN et al.,Tata Consultancy Services Limited,18/336920,2023-06-16,,,1/1,,Tata Consultancy Services Limited,,,10.450929,,20240095453,A1,US-PGPUB,20240095453
checked,,222,,,,,,,US 20240093895 A1,2024-03-21,90244748,65,"HVAC AIR BALANCE AND REPORTING SYSTEM FOR DESIGN, INFECTION CONTROL, CONTAMINATION REMOVAL, AND ENERGY CONSERVATION",F24F11/46;F24F11/64;F24F11/38;G05B15/02,F24F2110/30;G05B2219/2614;F24F2110/40,KILPACK; Corey et al.,LIFE BALANCE TECHNOLOGIES LLC,18/502219,2023-11-06,,,1/1,,LIFE BALANCE TECHNOLOGIES LLC,,,26.412807,,20240093895,A1,US-PGPUB,20240093895
checked,,223,,,,,,,US 20240090489 A1,2024-03-21,90245395,19,METHOD OF ACOUSTICALLY DETECTING EARLY TERMITE INFESTATION,G01V1/001,,Gromicko; Nick,,18/370270,2023-09-19,,,1/1,,Gromicko; Nick,,,22.655895,,20240090489,A1,US-PGPUB,20240090489
checked,,224,,,,,,,US 20240078919 A1,2024-03-07,90060889,56,SYSTEM AND METHOD FOR DETERMINING A ROUTE OF AN UNMANNED AERIAL SYSTEM,G01C21/20;G08G5/22;G08G5/32;G08G5/34;G08G5/55;G08G5/57;G08G5/74,G08G5/57,Pattison; Jeffrey Thomas,"Pattent, LLC",18/243072,2023-09-06,,,1/1,,"Pattent, LLC",,,17.672558,,20240078919,A1,US-PGPUB,20240078919
checked,1,225,,,,,,,US 20240068951 A1,2024-02-29,82549356,18,WALL-CLIMBING ROBOT SYSTEM AND METHOD FOR RAPID NONDESTRUCTIVE INSPECTION OF HIDDEN DEFECTS IN CULVERTS AND SLUICES,G01S13/885;G01N15/08;G01S13/89;G01N21/8851;B25J11/00;G01S13/881;G01N29/4454;G01N29/225;G01N29/043;G01S17/89;B62D57/024;G01N29/265,G01N2291/0232;G01N2291/0289;G01N2291/2698,WANG; Zhengfang et al.,SHANDONG UNIVERSITY,17/765215,2021-08-09,,,1/1,,SHANDONG UNIVERSITY,,,20.390854,,20240068951,A1,US-PGPUB,20240068951
checked,,227,,,,,,,US 20240050788 A1,2024-02-15,76407446,15,AUTOMATIC FIRE-EXTINGUISHING SYSTEM AND METHOD FOR CABLE TUNNEL,A62C27/00;A62C3/16;A62C37/04,,Zhang; Hao et al.,,17/765455,2021-12-27,,,1/1,,"State Grid Shandong Electric Power Research Institute,State Grid Corporation of China",,,21.267427,,20240050788,A1,US-PGPUB,20240050788
checked,2,228,,,,,,,US 20240046804 A1,2024-02-08,89769366,19,MICROSCALE WEATHER HAZARD PRODUCTS FOR URBAN AVIATION TRANSPORTATION,G08G5/55;G08G5/76;G08G5/22;G08G5/32;G08G5/57,G08G5/32;G08G5/57,ROBINSON; MIKE et al.,,17/881353,2022-08-04,,,1/1,,THE MITRE CORPORATION,,,20.009941,,20240046804,A1,US-PGPUB,20240046804
checked,,230,,,,,,,US 20260018070 A1,2026-01-15,89769366,19,MICROSCALE WEATHER HAZARD PRODUCTS FOR URBAN AVIATION TRANSPORTATION,G08G5/55;G08G5/76;G08G5/22;G08G5/32;G08G5/57,G08G5/32;G08G5/57,Robinson; Mike et al.,THE MITRE CORPORATION,19/332289,2025-09-18,,,1/1,,THE MITRE CORPORATION,,,20.009941,,20260018070,A1,US-PGPUB,20260018070
checked,,231,,,,,,,US 20240028920 A1,2024-01-25,87419331,14,METHODS AND SYSTEMS FOR DERIVING A BEHAVIOR KNOWLEDGE MODEL FOR DATA ANALYTICS,G06N5/022,G16H50/30,BALAJI; Ramesh et al.,Tata Consultancy Services Limited,18/223597,2023-07-19,,,1/1,,Tata Consultancy Services Limited,,,10.146407,,20240028920,A1,US-PGPUB,20240028920
checked,6,232,,,,,,,US 20240019823 A1,2024-01-18,87571253,93,Process Control or Automation System Architecture,G05B15/02;H04L63/0876;G05B19/4142;G05B19/41835;G05B19/4184;G05B19/4185;G05B19/41865;G05B19/41885;H04L63/0272;H04L63/0428;H04L63/08;H04L63/0823;H04L63/10;H04L67/12,G05B2219/31368;G05B2219/34447,Capoccia; Brian M. et al.,,18/223384,2023-07-18,,,1/1,,"Fisher-Rosemount Systems, Inc.",,,6.408066,,20240019823,A1,US-PGPUB,20240019823
checked,,233,,,,,,,US 20240028014 A1,2024-01-25,87571253,87,Field Device Digital Twins in Process Control and Automation Systems,G05B15/02;H04L63/0876;G05B19/4142;G05B19/41835;G05B19/4184;G05B19/4185;G05B19/41865;G05B19/41885;H04L63/0272;H04L63/0428;H04L63/08;H04L63/0823;H04L63/10;H04L67/12,G05B2219/31368;G05B2219/34447,Capoccia; Brian M. et al.,,18/223359,2023-07-18,,,1/1,,"FISHER-ROSEMOUNT SYSTEMS, INC.",,,6.408066,,20240028014,A1,US-PGPUB,20240028014
checked,,234,,,,,,,US 20240028011 A1,2024-01-25,87571253,90,Securing Access of a Process Control or Automation System,G05B15/02;H04L63/0876;G05B19/4142;G05B19/41835;G05B19/4184;G05B19/4185;G05B19/41865;G05B19/41885;H04L63/0272;H04L63/0428;H04L63/08;H04L63/0823;H04L63/10;H04L67/12,G05B2219/31368;G05B2219/34447,Lamothe; Brian et al.,,18/223395,2023-07-18,,,1/1,,"FISHER-ROSEMOUNT SYSTEMS, 
INC.",,,6.408066,,20240028011,A1,US-PGPUB,20240028011
checked,,235,,,,,,,US 20240028005 A1,2024-01-25,87571253,89,Securing Connections of a Process Control or Automation System,G05B15/02;H04L63/0876;G05B19/4142;G05B19/41835;G05B19/4184;G05B19/4185;G05B19/41865;G05B19/41885;H04L63/0272;H04L63/0428;H04L63/08;H04L63/0823;H04L63/10;H04L67/12,G05B2219/31368;G05B2219/34447,Lamothe; Brian et al.,,18/223407,2023-07-18,,,1/1,,"FISHER-ROSEMOUNT SYSTEMS, INC.",,,6.408066,,20240028005,A1,US-PGPUB,20240028005
