pub_number,title,abstract,publication_date,ipc_primary,kind
11908048,Managing infrastructure data,"Embodiments may be used to evaluate completed inspection jobs using updated pipe segment data obtained by inspecting a rehabilitated pipe after completion of a project. One embodiment provides a method of generating an infrastructure project summary, including: collecting, using one or more sensors of an inspection robot, pipe segment data relating to the one or more pipe segments; the second pipe segment data comprising one or more of laser condition assessment data and sonar condition assessment data; generating infrastructure summary data for at least a part of the network using the pipe segment data, comparing, using a processor, first and second infrastructure summary data; generating, using the processor, a parameter of the infrastructure project summary based on the comparing; and including the parameter of the infrastructure project summary in a project summary report. Other embodiments are disclosed and claimed.",20240220,B23K9/095,B2
11908121,Conveying manipulator for machining precision parts,"Provided are a method and a device for real-time monitoring of tunnel deformation. The monitoring method includes: S 1 , erecting a plurality of structured light sources in an unstable area to be monitored of a tunnel structure, and erecting a monitoring terminal in a relatively stable region of the tunnel structure, where the monitoring terminal may communicate with the plurality of structured light sources; S 2 , observing all structured lights in the unstable area of the tunnel structure and obtaining structured light curves in real time by the monitoring terminal; S 3 , analyzing imaging changes of the structured lights, detecting deformation degrees and offset distances of the tunnel in real time, and monitoring the diseases such as settlement, convergence of a single-section of the tunnel and integral settlement of a multi-section of the tunnel by the data processing unit.",20240220,G01B11/16,B2
RE49864,Automated alarm panel classification using pareto optimization,"Systems and methods for alarm panel analysis include receiving a plurality of alarm events from the respective alarm panels monitoring corresponding buildings. An alarm analysis system may classify the alarm panels by identifying an alarm type for the alarm events. The alarm analysis system may determine a number of occurrences of each alarm type for the alarm panels, and generate a data point for a dataset for the alarm panels. The alarm analysis system may identify statistical dividers in the data points for the data set, which may be used for assigning a ranking for the alarm panels based on their location in relation to the statistical dividers. The alarm analysis system may construct and a monitoring dashboard which includes the rankings of the alarm panels, which may be rendered on a display to an end user.",20240305,G06F17/18,E1
11920327,Method of operation to increase the water efficiency of system for domotic control of a plumbing installation,"A water control system for the cold and hot water plumbing installations, for consumption or heating and gray water in a home, premises or building increases water and/or energy efficiency of the installation by means of a method of operation which reduces the water consumption or energy used in its consumption and treatment. The method includes detecting and controlling water leaks, avoiding consumption of cold water which is produced while waiting for hot water to come out, reducing the energy required for consuming hot water, reducing consumption of water when it is used for the toilet together with a soap, foam or similar, measuring and controlling the proliferation of Legionella bacteria and other microorganisms, cleaning pipes and in general monitoring the control variables of a plumbing installation and its visualization and interaction by a user or a smart and autonomous IT system.",20240305,E03B1/04,B2
11920814,Fire mitigation system,"A method of controlling an agricultural facility for housing a plurality of animals includes the step of regulating the environment within the agricultural facility with an automated building operational system. An automated thermal event controller is operationally coupled with the automated building operational system and generates a thermal event signal in response to a thermal event in progress, whereby the automated thermal event controller, upon receipt of the thermal event signal indicating that the thermal event is in progress, activates an alarm state. In the alarm state, the automated thermal event controller: sends an alarm signal to a system administrator; places the automated building operational system in a safety-mode condition for a first predetermined time interval; and places the automated building operational system in a normal-mode operational condition after the first predetermined time interval and if a confirmatory signal is not yet then received from the system administrator.",20240305,F24F11/63,B2
11924843,Method and apparatus to perform autonomous retransmission considering reactivated configured grant,"The present disclosure relates to a communication method and system for converging a 5th-Generation (5G) communication system for supporting higher data rates beyond a 4th-Generation (4G) system with a technology for Internet of Things (IoT). The present disclosure may be applied to intelligent services based on the 5G communication technology and the IoT-related technology, such as smart home, smart building, smart city, smart car, connected car, health care, digital education, smart retail, security and safety services. A method performed by a terminal in a communication system is provided. The method includes receiving, from a base station, configuration information on a configured grant for uplink transmission, the configured grant being configured with an autonomous transmission; in case that a previous configured grant for a hybrid automatic repeat request (HARQ) process was not prioritized, a transmission of a first medium access control (MAC) protocol data unit (PDU) obtained for the HARQ process has not been performed, and a size of the first MAC PDU matches a size of a configured grant, identifying that the first MAC PDU has been obtained for the configured grant; and in case that the configured grant is a prioritized uplink grant, delivering the obtained first MAC PDU.",20240305,H04L1/1812,B2
11931754,System for spraying a wall surface of a building and method therefor,"The present invention provides an automated system for spraying a wall of a building. The automated system comprises a gondola mounted on the building, the gondola having a linear track disposed thereon, wherein the linear track is disposed horizontally with respect to the height of the building; a robotic mechanism slidably mounted on the linear track of the gondola, the robotic mechanism further having an end effector adapted to support a spray nozzle thereon; a visual monitoring system configured to scan structural characteristics and profiles of the wall; a computing device disposed in communication with the visual monitoring system and the robotic mechanism, wherein the computing device is configured to receive the scanned structural characteristics and profile of the wall from the visual monitoring system; and a controller communicably coupled to the computing device, the controller configured to independently control operation of respective ones of the robotic mechanism, and the spray nozzle according to the scanned structural characteristics and profiles of the wall.",20240319,B05B12/00,B2
11932244,Apparatus and method for controlling autonomous driving of vehicle,"An apparatus and method are provided for controlling autonomous driving of a vehicle which may derive predicted paths of a pedestrian and a two-wheel vehicle during autonomous driving of the vehicle so as to minimize accidents. The method includes calculating first height information allocating a first gradient that descends in a proceeding direction of objects, including a vehicle and a pedestrian, from respective positions of the objects based on dynamic information of the objects, calculating second height information allocating a second gradient based on a probability that the pedestrian will occupy infrastructure, calculating final height information by fusing the first height information and the second height information, generating a predicted path of the pedestrian, determining a driving strategy of a host vehicle based on a predicted path of the host vehicle and the predicted path of the pedestrian.",20240319,B60W30/00,B2
11935288,"Systems and methods for generating of 3D information on a user display from processing of sensor data for objects, components or features of interest in a scene and user navigation thereon","The systems and methods herein provide improved methodologies for visualization on a user's display of sensor data (e.g., 2D and 3D information obtained from or derived from sensors) for objects, components, or features of interest in a scene. The previously acquired sensor data is processable for concurrent display of objects/features/scene or location visualizations to a user during their real-time navigation of a scene camera during a variety of user visualization activities. Sensor data can be acquired via the operation of vehicles configured with one or more sensors, such as unmanned aerial vehicles, or from other methodologies, or from any other suitable sensor data acquisition activities. Objects etc. for which acquired sensor data can be visualized by a user on a display includes buildings, parts of buildings, and infrastructure elements, among other things. The improved display of information to a user for visualization and information generation therefrom provides significant benefits over prior art display methodologies and exhibits notable utility for user activities such as, inspection, condition assessment, performance assessment, insurance applications, construction, inventorying, building information modeling, asset management and the like. Information derivable from the methodologies herein can be used for machine learning libraries and digital twin processes.",20240319,G05D1/00,B2
11938964,Method for safely ascertaining infrastructure data,"A method for safely ascertaining infrastructure data for driving a motor vehicle in at least partially automated fashion. The method includes receiving data signals, which represent infrastructure sensor data generated by at least one infrastructure sensor and/or motor vehicle data generated by at least one source motor vehicle, receiving safety condition signals, which represent at least one safety condition for safely ascertaining infrastructure data based on the data, checking whether the at least one safety condition is fulfilled, ascertaining infrastructure data, on the basis of which it is possible to drive a destination motor vehicle in at least partially automated fashion, based on the data as a function of a result of the check as to whether the at least one safety condition is fulfilled, generating infrastructure data signals, which represent the ascertained infrastructure data, outputting the generated infrastructure data signals.",20240326,B60W30/08,B2
11940894,Machine learning models for automated anomaly detection for application infrastructure components,"A computer system includes processor hardware configured to execute instructions from memory hardware. The instructions include training first and second machine learning models with the measured historical performance metrics to generate a component health status output and a component health score output, respectively, and generating a plurality of elements for display in a multi-level application monitoring interface. The measured historical performance metrics include at least one of a component response time, a component volume, a component memory utilization, and a component processor utilization. The instructions include obtaining measured performance metrics of an application infrastructure component, processing the measured performance metrics with the first machine learning model to produce the component health status output for the component, processing the measured performance metrics with the second machine learning model to produce the component health score output for the first component, and generating an output to transform a display visible to an operator.",20240326,G06F11/30,B2
11955020,Systems and methods for operating drone flights over public roadways,"Systems and methods for operating done flights over public roadways are disclosed herein. An example method includes transmitting, by a first drone, a drone safety message, the drone safety message being received by a vehicle or a roadside infrastructure device located along a first planned flight path, determining an emergency condition for the first done, transmitting a warning message over a vehicle-to-everything communication that indicates that the first drone is experiencing the emergency condition. A connected vehicle or mobile device receives the warning message over the vehicle-to-everything communication. Determining drone operating evidence as the first drone traverses along the first planned flight path, and storing the drone operating evidence in a distributed ledger.",20240409,B64C39/02,B2
11959057,Automated addressable microfluidic technology for minimally disruptive manipulation of cells and fluids within living cultures,"Embodiments of microfluidic systems and methods of manufacturing are described herein, which utilize an automated microfluidic plumbing technology with addressable ports capable of minimally disruptive additive and subtractive (including probing) cell and/or fluid manipulation at any desired location(s) within living cultures. The addressable microfluidic ports may be integrated throughout cell cultures in microfluidic systems for microfluidic tissue scaffolds, in two- or three-dimensional spatial arrangements. The addressable microfluidic ports may be used for controlling and/or monitoring cell behavior over time at different user-selected locations within cell cultures. Also provided are methods for fabricating such microfluidic devices and microfluidic tissue scaffolds.",20240416,C12M1/12,B2
11969901,Security sentinel robot,"A building monitoring system includes a first sensor configured to detect a first condition in the space, a second sensor configured to detect a second condition in the space, and a robotic sentinel. The robotic sentinel includes a memory for storing one or more rules each configured to identify an alert condition for the space based on the first and/or second conditions in the space, a communications module configured to communicate with a remote device over a network, and a controller operatively coupled to the sensors, the memory, and the communications module. The controller is configured to apply the one or more rules to the first and second detected conditions in the space to identify one or more alert conditions and determine what action is required by the robotic sentinel, and if action is required, command the robotic sentinel to travel to a location of the alert condition.",20240430,B25J11/00,B2
11972253,Multi-cloud machine-learning model building,"Machine-Learning Model (MLM) build technique is provided. Build instructions are normalized into a cloud-independent format. Each cloud identified in the instructions is assigned a specific adapter. The adapter translates the normalized format into a cloud-specific format and the adapters interact with configuration Application Programming Interfaces (APIs) of the specific cloud to process the instructions in the cloud-specific format. As the adapters interact with the corresponding APIs, output feedback from the APIs is live streamed within an interface to a developer that provided the instructions for monitoring the builds simultaneously being configured on multiple clouds. When the build instructions complete with the APIs on the clouds, the user is presented an option to initiate an orchestrator that loads, initiates, and trains the MLM as a unique instance of the MLM on each cloud.",20240430,G06F8/71,B2
11981337,Smart road infrastructure for vehicle safety and autonomous driving,"A system for providing smart road infrastructure for the purpose of vehicle safety and autonomous driving, comprising a plurality of road units, which are located along the borders of each traffic lane and equally spaced from each other, where each road unit includes a read/write passive RF tag; antenna for communicating with a plurality of transceivers, each of which is installed on each vehicle that travels along a traffic lane of said road, in response to signals transmitted from said transceivers; a memory for temporarily storing data regarding each vehicle traveling along said lane. Each car unit comprises a reader for interrogating said tags. The reader includes a first transceiver that is installed on the left front of said vehicle and a second transceiver that is installed on the right front of said vehicle; a processor being in bidirectional data communication with said transceivers and with the vehicle inherent control systems, for processing data received from said tags and calculating speed and location of said vehicle with respect to the borders of said lane and to other neighboring vehicles traveling in said lane and adjacent lanes, to implement vehicle safety operations such as Lane Departure Warning, Forward Collision Warning, Lane Keeping Assist, Lane Centering, Side Collision Warning. Alerting the driver (visually and/or audibly) regarding potential problems and/or taking over control of the vehicle (ADAS 1-5). The system can provide Connected Vehicles with accurate (ubiquitous and instantaneous) location data with lane-level resolution. The proposed smart infrastructure may complement car sensors and/or connected vehicles, so as to implement a combination that yield the most relabel and cost-effective autonomous driving system.",20240514,B60W40/12,B2
11985044,System and methods for proactive network infrastructure component monitoring and replacement,"Systems, computer program products, and methods are described herein for proactive network infrastructure component monitoring and replacement. The present invention is configured to transmitting instructions to display a manager input portal via a graphical display of a user device; receiving input via the graphical display of the user device for one or more network components or constraint variables; initiating a logic algorithm to determine the effects of the one or more network components or constraint variables on an assignment list; generating an updated assignment list and analyze the updated assignment list in comparison with one or more prior versions to determine one or more changes; generating a link between the one or more changes and the received input; and using a machine learning algorithm, forecasting one or more additional changes in order to generate an optimized recommendation for the updated assignment list.",20240514,G06F15/173,B1
11993298,Moving block train operation control method and system based on train autonomous positioning,"The present invention relates to a moving block train operation control method and system based on train autonomous positioning, where the method is centered on a train-mounted device, autonomous positioning and integrity checking are implemented for the train-mounted device through satellites, and a movement authority and a target distance curve are calculated according to a real-time position, speed, and line state of a preceding train and in combination with train-to-train communication train safety protection technology, thereby achieving moving block. Compared with the prior art, the present invention has the advantages that line use efficiency, system work efficiency and operation efficiency are improved, a quantity of railside devices is reduced, and system construction and maintenance costs are reduced.",20240528,B61L25/02,B2
12005586,Dynamic navigation of autonomous vehicle with safety infrastructure,"Disclosed autonomous mobile robot systems can be used to safely and efficiently navigate through a facility while avoiding objects in the path of the autonomous mobile robot during completion of a task. Specifically, a first bounded area based on first sensor data may be generated around an autonomous mobile robot where the first sensor data is used to identify objects in a travel path for the autonomous mobile robot and determine a speed for navigating the facility. A second bounded area of a size less than the first bounded area may be generated around the autonomous mobile robot based on speed information from propulsion components of the autonomous mobile robot. A new travel path and new speed information may be generated based on identifying an object in the travel path, dimensional measurements of a space around the object, and a current size of the second bounded area.",20240611,B25J9/16,B2
12007227,Failure prediction and analysis techniques,"Techniques for implementing Bayesian model for refining and petrochemical wall thickness monitoring are presented. The construction of a model may be automated for each piping circuit or piece of major fixed equipment, utilizing, for example, specific component data, historical thickness measurements, inspection practices and related inspection program information. The model contains nodes describing the most significant sources of variability, namely component original thicknesses, wall thickness degradation over time, corrosion rates and thickness measurement error. Bayesian prior distributions are assigned using readily available inspection program information, including assigned damage mechanisms, inspector and industry experience regarding the expected range of corrosion rates and degree of non-uniform corrosion, thickness monitoring practices, including surface preparation and instrument calibration, thickness data recording practices and component original thicknesses based on applicable industry specifications, typical values for size/component combinations or detailed ultrasonic thickness scanning data generated specifically for this purpose.",20240611,G01B21/08,B2
12012728,Method and system for monitoring track tension in construction machinery,"In a method of monitoring track tension in construction machinery, data on predetermined major factors for monitoring track tension are received. A machine learning algorithm is performed based on the data to determine a track tension state. Information on the track tension state is displayed.",20240618,B62D55/30,B2
12020558,Work zone alert system and method,"An exemplary method and system is disclosed that facilitates a readily-re-deployable and self-enclosed geofencing and proximity-based intrusion sensing and alerting system in a roadway or construction work zone. The sensing and alerting system is configured in the form factor of a safety cone, barricade or drum to sense and uses acoustic-echoes or LiDAR-based sensing to detect intruders that are in proximity to the sensing and alerting system to generate a siren or loud audible alert, as well as flashing lights, to warn workers of such intrusion.",20240625,G01S17/86,B2
12031922,Multi-arm robot used for tunnel lining inspection and defect diagnosis in operation period,"A multi-arm robot used for tunnel lining inspection and defect diagnosis in an operation period, including a moving platform, where an environment detection device and a defect infection device are disposed on the moving platform, the defect infection device is disposed on the moving platform by using a multi-degree-of-freedom mechanical arm, and an attitude detection module is disposed on each multi-degree-of-freedom mechanical arm; a controller receives environmental data and mechanical arm attitude data sensed by the environment detection device and the attitude detection module, and sends a control instruction to the moving platform and the multi-degree-of-freedom mechanical arm according to the environmental data, to implement movement of the robot; and the controller receives tunnel lining structural data sensed by the defect infection device, and performs defect diagnosis. Overall automatic inspection can be implemented both on the surface and inside of the tunnel lining.",20240709,F16L101/30,B2
12032945,Autonomous vehicle accident and emergency response,"Methods and systems for monitoring use, determining risk, and pricing insurance policies for a vehicle having one or more autonomous or semi-autonomous operation features arm provided. According to certain aspects, the operating status of the features, the identity of a vehicle operator, risk levels for operation of the vehicle by the vehicle operator, or damage to the vehicle may be determined based upon sensor or other data. According to further aspects, decisions regarding transferring control between the features and the vehicle operator may be made based upon sensor data and information regarding the vehicle operator. Additional aspects may recommend or install updates to the autonomous operation features based upon determined risk levels. Some aspects may include monitoring transportation infrastructure and communicating information about the infrastructure to vehicles.",20240709,A61B5/00,B2
12043415,Autonomous multi-use subterranean aircraft pull-through system and method of use,"The present invention relates to an autonomous, multi-use, subterranean aircraft pull-through system that connects with an aircraft arriving at the ramp pick-up point and transits through the terminal building, in a unidirectional movement, where the aircraft is serviced, then disconnects from the aircraft at the ramp release point. The autonomous, subterranean aircraft pull-through system receives multiple aircraft in a row, with rows adjacent to each other, where aircraft are nose to tail, and side by side, occupying the smallest footprint in the industry. The autonomous, subterranean aircraft pull-through system is remotely controlled and operates autonomously in a subterranean manner to assist in servicing the aircraft. The system helps to speed up the aircraft handling component of airside operations, improve safety, reduce emissions, and the cost factors borne by both airports and airlines. The autonomous, subterranean aircraft pull-through system design is versatile in handling all code A-F (ICAO) aircraft.",20240723,B61B5/02,B2
12046145,Autonomous transportation system and methods,"Autonomous and manually operated vehicles are integrated into a cohesive, interactive environment, with communications to each other and to their surroundings, to improve traffic flow while reducing accidents and other incidents. All vehicles send/receive messages to/from each other, and from infrastructure devices, enabling the vehicles to determine their status, traffic conditions and infrastructure. The vehicles store and operate in accordance with a common set of rules based upon the messages received and other inputs from sensors, databases, and so forth, to avoid obstacles and collisions based upon current and, in some cases, future or predicted behavior. Shared vehicle control interfaces enable the AVs to conform to driving activities that are legal, safe, and allowable on roadways. Such activities enable each AV to drive within safety margins, speed limits, on allowed or legal driving lanes and through allowed turns, intersections, mergers, lane changes, stops/starts, and so forth.",20240723,B60W10/04,B2
12051047,"Artificial intelligence monitoring, negotiating, and trading agents for autonomous vehicles","A system for autonomous vehicle Artificial Intelligence (AI) platform consisting of 1) AI “health monitoring AI agent(s)” monitoring the health of parts of the “autonomous vehicles” or “manually driven vehicles” or the health of the entire “autonomous” or “manually-driven” vehicles; 2) e-commerce AI “negotiating” agents, including the back-end and the cloud computing infrastructure required for the AI agents working on behalf of the “autonomous” or manually-driven vehicles to find the best possible price through negotiations, auctions or futures trading for new or used “autonomous vehicles”, “autonomous vehicle” replacement parts, “autonomous vehicle” fuel, and/or “autonomous Vehicle” service providers; and 3) e-commerce AI “negotiating” agents, including the back-end and the cloud computing infrastructure required for the AI agents working on behalf of sellers to offer the best possible price through negotiations, auctions or futures trading for new or used “autonomous vehicles”, “autonomous vehicle” replacement parts, “autonomous vehicle” fuel, and/or “autonomous vehicle” services.",20240730,G06N3/04,B2
12056917,Distributed management and control in autonomous conveyances,"Disclosed subject matter identifies, characterizes, and mitigates previously unforeseen safety hazards that are likely to be encountered by autonomous conveyances—finding these hazards, assessing their potential safety impact, modifying the design to mitigate them should they occur, disseminating updated design programming to all units, including those under construction or those already in the field, and including those hazard mitigations of high severity that exceed the maximum capabilities of the controller as manufactured. These hazards can include rare, infrequent and unforeseen hazards by monitoring conveyances already in the field, gathering data from autonomous conveyances, such as those using a design being updated, and data obtained from those using other autonomous designs in the field. By obtaining data from non-autonomous conveyances, as supplied by their drivers and operators, reporting real-time via a smartphone application, categories of rare, infrequent or unforeseen hazards can be integrated into modified designs.",20240806,B60W30/09,B2
12061459,Method and system for automatic access provisioning and scaling of robots,"A method for automatically scaling a number of robots leveraging interactive sessions to be used within a system infrastructure, dynamically based on workload, is provided. The method includes: receiving a request for a number of robots to be provisioned within the system infrastructure; validating an availability of the requested number of robots; monitoring a CPU utilization and a memory utilization within the system infrastructure; adjusting the requested number of robots based on the CPU utilization and/or the memory utilization; and releasing the adjusted number of robots for facilitating use thereof to perform corresponding tasks within the system infrastructure.",20240813,G05B19/4155,B2
12062231,Inundation and overflow prediction system using drone images and artificial intelligence,"Disclosed is an inundation and overflow prediction system, and particularly, when there is provided an inundation and overflow prediction system, which can visually express the areas and degree of inundation and overflow on an orthophotograph, a Digital Elevation Model, and a Digital Surface Model based on images captured by a drone, which can reflect the latest environment and provide accurate numerical data, visualized information on inundated areas may be used in real-time for management of land to identify areas vulnerable to inundation and overflow and quickly respond to disasters, and objective information on numerical data may be provided in selecting locations for installing safety facilities against flood. Additionally, reports and documents, drawings for creating data, and visible simulation values may be output to supports works, and, there is an effect of constructing and utilizing a database regarding maintenance of social infrastructures through continuously learning of drone images.",20240813,G06V20/17,B2
12072298,Wall-climbing robot system and method for rapid nondestructive inspection of hidden defects in culverts and sluices,"A wall-climbing robot system and method for rapid nondestructive inspection of hidden defects in culverts and sluices. The system includes: a robot vehicle body; navigation positioning system and moving system, both mounted on the robot vehicle body; automatic knock inspection system, mounted at the vehicle body front end; mobile ultrasonic rapid inspection system and corrosion inspection system, dual-power system, formed by a non-contact negative pressure adsorption apparatus and rotor booster apparatuses, the non-contact negative pressure adsorption apparatus mounted on the vehicle body bottom, the rotor booster apparatuses mounted on two sides of the vehicle body; and a master controller, communicating with the navigation positioning system, moving system, automatic knock inspection system, mobile ultrasonic rapid inspection system, corrosion inspection system, and dual-power system. The system recognizes positions and categories of internal defects from ultrasonic data and perform concrete permittivity inversion and disease recognition on arbitrary length-continuous survey line ground-penetrating radar data.",20240827,B25J11/00,B2
12089038,Method and apparatus for performing authorization for unmanned aerial system service in wireless communication system,"Disclosed are a communication scheme and a system thereof for converging IoT technology and a 5G communication system for supporting a high data transmission rate beyond that of a 4G system. The disclosure can be applied to intelligent services (for example, services related to a smart home, smart building, smart city, smart car, connected car, health care, digital education, retail business, security, and safety) based on the 5G communication technology and the IoT-related technology. Disclosed is a method of performing authorization related to an unmanned aerial system (UAS) service in a wireless communication system.",20240910,B64C39/02,B2
12094200,Monitoring method for wheat kernel moisture content in-field based on planetscope satellite imagery,"The monitoring method for wheat kernel moisture content in-field based on PlanetScope satellite imagery in this disclosure comprises: (1) data collection and database establishment; (2) feature engineering: constructing various broad-band indices on the original bands provided by PlanetScope to expand the feature domain, and evaluate the importance of each feature to rank the features based on the comprehensive importance calculated by permutation importance based on regressors; (3) model construction: progressively adding the spectral features one by one as independent variables to the GBDT model according to the ranking results, and screen out the optimal spectral feature domain and inversion model for wheat kernel moisture content; (4) wheat kernel moisture content mapping. The disclosure utilizes machine learning inversion models based on spectral features and PlanetScope satellite imagery to obtain the wheat kernel moisture content at any position of the target farmland.",20240917,G06V20/10,B1
12094355,Autonomous transportation system and methods,"Autonomous and manually operated vehicles are integrated into a cohesive, interactive environment, with communications to each other and to their surroundings, to improve traffic flow while reducing accidents and other incidents. All vehicles send/receive messages to/from each other, and from infrastructure devices, enabling the vehicles to determine their status, traffic conditions and infrastructure. The vehicles store and operate in accordance with a common set of rules based upon the messages received and other inputs from sensors, databases, and so forth, to avoid obstacles and collisions based upon current and, in some cases, future or predicted behavior. Shared vehicle control interfaces enable the AVs to conform to driving activities that are legal, safe, and allowable on roadways. Such activities enable each AV to drive within safety margins, speed limits, on allowed or legal driving lanes and through allowed turns, intersections, mergers, lane changes, stops/starts, and so forth.",20240917,B60W10/04,B2
12098980,Systems and methods of alarm triggered equipment verification using drone deployment of sensors,"An equipment monitoring system includes an unmanned vehicle, an alarm circuit remote from the unmanned vehicle, and a vehicle control circuit remote from the unmanned vehicle. The unmanned vehicle can include a communications circuit and a flight controller. The alarm circuit detects a failure condition of a building component and outputs an indication of the failure condition. The vehicle control circuit receives the indication of the failure condition from the alarm circuit; generates, based on the indication of the failure condition, an equipment verification signal that includes an identifier of the building component, a position of the building component, and a test of the building component to be executed; and transmits the equipment verification signal to the flight controller of the unmanned vehicle via the communications circuit of the unmanned vehicle to cause the unmanned vehicle to execute the test of the building component.",20240924,B64U10/00,B2
12101223,Telecommunication networks,"The present disclosure relates to a method and system for converging a 5th-Generation (5G) communication system for supporting higher data rates beyond a 4th-Generation (4G) system with a technology for Internet of Things (IoT). The system may be applied to intelligent services based on the 5G communication technology and the IoT-related technology, such as spmart home, smart building, smart city, smart car, connected car, health care, digital education, smart retail, security and safety services. The method includes a method for configuring a base station in a telecommunication network. The base station includes a central unit (CU) and a distributed unit (DU). The CU is arranged to perform virtualized network functions (VNFs). The CU includes an artificial intelligence (AI) engine operable to learn from computational metrics and to adjust the configuration of various VNFs, wherein an F1 interface is used to exchange computational metrics between the CU and the DU.",20240924,H04L41/08,B2
12112650,Autonomous transportation system and methods,"Autonomous and manually operated vehicles are integrated into a cohesive, interactive environment, with communications to each other and to their surroundings, to improve traffic flow while reducing accidents and other incidents. All vehicles send/receive messages to/from each other, and from infrastructure devices, enabling the vehicles to determine their status, traffic conditions and infrastructure. The vehicles store and operate in accordance with a common set of rules based upon the messages received and other inputs from sensors, databases, and so forth, to avoid obstacles and collisions based upon current and, in some cases, future or predicted behavior. Shared vehicle control interfaces enable the AVs to conform to driving activities that are legal, safe, and allowable on roadways. Such activities enable each AV to drive within safety margins, speed limits, on allowed or legal driving lanes and through allowed turns, intersections, mergers, lane changes, stops/starts, and so forth.",20241008,B60W10/04,B2
12118085,Systems and methods for machine learning enhanced intelligent building access endpoint security monitoring and management,Systems and methods for correlating access-system primitives generated by an access control system and semantic primitives generated by a sensor data comprehension system.,20241015,G06F18/21,B2
12118703,Photo-realistic infrastructure inspection,"One aspect provides a modular inspection robot for inspecting vertical shafts, chambers or tunnels. An embodiment provides related methods and products. One method includes: capturing, using a plurality of video cameras associated with an infrastructure inspection unit, two or more videos of infrastructure; accessing, using one or more processors, image metadata indicating a mesh of connected vertices based on the two or more videos; selecting, using the one or more processors, image data of frames of the two or more videos for inclusion in an output based on the mesh; and outputting, using the one or more processors, a photo-realistic image of the infrastructure comprising the image data selected. Other examples are described and claimed.",20241015,G06T17/20,B2
12124926,"Supplementing artificial intelligence (AI) / machine learning (ML) models via action center, AI/ML model retraining hardware control, and AI/ML model settings management","Supplementing artificial intelligence (AI)/machine learning (ML) models via an action center, providing AI/ML model retraining hardware control, and providing AI/ML model settings management are disclosed. AI/ML models may be deployed on hosting infrastructure where the AI/ML models can be called by robotic process automation (RPA) robots. When the performance of an AI/ML model falls below a threshold, the result of the AI/ML model prediction and other data is sent to an action center where a human reviews the data using a suitable application and approves the prediction or provides a correction if the prediction is wrong. This action center-approved result is then sent to the RPA robot to be used instead of the prediction from the AI/ML model.",20241022,G06N20/00,B2
12124979,Artificial intelligence system and method for site safety and tracking,"A machine-learning ecosystem includes a correlation module for building at least one prediction model based on at least one data input including at least one input parameter and at least one output parameter, the prediction model relating the output parameter to the input parameter. The correlation module performs at least one threshold check on the prediction model to assess the robustness of the prediction model. The ecosystem further includes a decision module communicatively coupled to the correlation module and receiving the prediction model from the correlation module. Based on a verification check at the decision module, a confirmation, a deferral, or a rejection of the prediction model is sent from the decision module to the correlation module.",20241022,G06F18/214,B2
12125262,Unmanned aerial vehicle based system to track solar panel system construction and commissioning,"An unmanned aerial vehicle based system, method, and computer program product, for inspection and monitoring construction progress of outdoor power facilities. The method can receive a construction plan and schedule identifying milestones for installation at an outdoor construction site of at least one externally placed piece of equipment specified in the construction plan. A machine learning artificial intelligence processing system identifies, from a set of observed aerial images of the outdoor construction site captured by an unmanned aerial vehicle, at least one externally placed piece of equipment in the outdoor construction site. The identified piece of equipment in the construction site is compared to an expected piece of equipment specified in the construction plan. The difference between identified and expected piece of equipment is reported and the construction schedule can be updated based on the difference. An alert is provided if the difference exceeds a threshold.",20241022,G06Q10/0637,B2
12130204,Rapidly deployable UAS system for autonomous inspection operations using a combined payload,"Systems, devices, and methods for a mobile vehicle, the mobile vehicle comprising a base station; an unmanned aerial vehicle (UAV), where the UAV is launched from the base station; a payload disposed on the UAV, where the payload is configured to generate payload data of at least one infrastructure, and where the payload data comprises at least one of: a gas sensor data, an infrared imager for optical gas imaging (OGI) camera data, an infrared imager tuned for radiometric measurement camera data, a visible camera data, and a 3D mapping data; and a processor in communication with the UAV and the payload, where the processor is configured to determine an integrity of the at least one infrastructure based on payload data from the payload.",20241029,B64U10/13,B2
12130890,Construction site defect and hazard detection using artificial intelligence,"A system and method for detecting construction site defects and hazards using artificial intelligence (AI) is provided. The system includes a movable base unit, a coordinate measurement scanner, a vision based sensor, and one or more processors. The one or more processors perform operations that include generating a two-dimensional (2D) map of the environment based at least in part on output from the coordinate measurement scanner, applying image recognition to the video stream data to identify and label a defect or hazard in the video data stream, correlating a location of the defect or hazard in the video stream data with the location in the 2D map, and recording the location of the defect or hazard in the 2D map.",20241029,G01B11/00,B2
