pub_number,title,abstract,publication_date,ipc_primary
10614222,Validation of security monitoring through automated attack testing,"Systems, devices, and methods of an automatic attack testing framework for the security testing of an operational service are disclosed. In an example, such systems, devices, and methods may include operations that: deploy command instructions and a payload for a bot process to a computing device located within a target infrastructure, with the command instructions being selected based on criteria to test a security feature in the target infrastructure with an automated attack action in the bot process, and with the bot process being executed on the computing device and being started with use of the command instructions and the payload; communicate with the computing device to control the automated attack action within the target infrastructure, such that the automated attack action is performed within the bot process; and obtain results of the automated attack action performed within the bot process from the computing device.",20200407,G06F21/53
10614709,Systems and methods for implementing multimodal safety operations with an autonomous agent,"A system and method includes an autonomous agent having a communication interface that enables the autonomous agent to communicate with a plurality of infrastructure sensing devices; a plurality of distinct health monitors that monitor distinct operational aspects of the autonomous agent; an autonomous state machine that computes a plurality of allowed operating states of the autonomous agent based on inputs from the plurality of distinct health monitors; a plurality of distinct autonomous controllers that generate a plurality of distinct autonomous control instructions; and an arbiter of autonomous control instructions that: collects, as a first input, the plurality of autonomous control instructions generated by each of the plurality of distinct autonomous controllers; collects, as a second input, data relating to the plurality of allowed operating state of the autonomous agent; and selectively enables only a subset of the autonomous control instructions to pass to driving components of the autonomous agent.",20200407,G05D1/00
10628253,Systems and methods for cognitive control of data acquisition for efficient fault diagnosis,"Remote sensing techniques are being increasingly used for periodic structural health monitoring of vast infrastructures. Conventionally, analysis of visual and other signals captured from sensing devices are used to diagnose faults. Such data collection and analysis is expensive in terms of both computational overheads as well as towards robotic maneuvering of data collection systems, such as a UAV. In accordance with the present disclosure, the data acquisition system is modeled as an intelligent situated agent that autonomously controls data gathering and analysis activities through a cognitive cycle of perception-recognition-action, in order to optimize the cost of efforts in identifying faults that may exist. Also, a reactive, economical planning algorithm around Qualitative Bayesian Network (QBN) that controls the sequence of data collection and analysis has been implemented.",20200421,G05B23/02
10630703,Methods and system for identifying relationships among infrastructure security-related events,"A novel enterprise security solution allows for precise interception and surgical response to attack progression, in real time, as it occurs across a distributed infrastructure. The solution includes a data monitoring and management framework that continually models system level host and network activities as mutually exclusive infrastructure wide execution sequences and bucketizes them into unique execution trails. A multimodal intelligent security middleware detects indicators of compromise in real-time on top of subsets of each unique execution trail using rule based behavioral analytics, machine learning based anomaly detection, and other sources. Each detection result dynamically contributes to aggregated risk scores at execution trail level granularities. These scores can be used to prioritize and identify highest risk attack trails to end users, along with steps that such end users can perform to mitigate further damage and progression of an attack.",20200421,G06F21/55
10630704,Methods and systems for identifying infrastructure attack progressions,"A novel enterprise security solution allows for precise interception and surgical response to attack progression, in real time, as it occurs across a distributed infrastructure. The solution includes a data monitoring and management framework that continually models system level host and network activities as mutually exclusive infrastructure wide execution sequences and bucketizes them into unique execution trails. A multimodal intelligent security middleware detects indicators of compromise in real-time on top of subsets of each unique execution trail using rule based behavioral analytics, machine learning based anomaly detection, and other sources. Each detection result dynamically contributes to aggregated risk scores at execution trail level granularities. These scores can be used to prioritize and identify highest risk attack trails to end users, along with steps that such end users can perform to mitigate further damage and progression of an attack.",20200421,H04L29/06
10630715,Methods and system for characterizing infrastructure security-related events,"A novel enterprise security solution allows for precise interception and surgical response to attack progression, in real time, as it occurs across a distributed infrastructure. The solution includes a data monitoring and management framework that continually models system level host and network activities as mutually exclusive infrastructure wide execution sequences and bucketizes them into unique execution trails. A multimodal intelligent security middleware detects indicators of compromise in real-time on top of subsets of each unique execution trail using rule based behavioral analytics, machine learning based anomaly detection, and other sources. Each detection result dynamically contributes to aggregated risk scores at execution trail level granularities. These scores can be used to prioritize and identify highest risk attack trails to end users, along with steps that such end users can perform to mitigate further damage and progression of an attack.",20200421,H04L29/06
10630716,Methods and system for tracking security risks over infrastructure,"A novel enterprise security solution allows for precise interception and surgical response to attack progression, in real time, as it occurs across a distributed infrastructure. The solution includes a data monitoring and management framework that continually models system level host and network activities as mutually exclusive infrastructure wide execution sequences and bucketizes them into unique execution trails. A multimodal intelligent security middleware detects indicators of compromise in real-time on top of subsets of each unique execution trail using rule based behavioral analytics, machine learning based anomaly detection, and other sources. Each detection result dynamically contributes to aggregated risk scores at execution trail level granularities. These scores can be used to prioritize and identify highest risk attack trails to end users, along with steps that such end users can perform to mitigate further damage and progression of an attack.",20200421,H04L29/06
10635067,Intelligent building automation apparatus of autonomous control and control method thereof,A self-regulating intelligent building automation system includes: a smart sensing unit including a first sensing unit disposed in a first specific space and a second sensing unit disposed in a second specific space separated from the first specific space; a self-regulating terminal unit including a first self-regulating terminal disposed in the first specific space and a second self-regulating terminal disposed in the second specific space; a network management unit managing a network without a direct digital control unit and wirelessly communicating with the smart sensing unit and the self-regulating terminal unit; and a central monitoring unit connected to the network management unit via the Internet.,20200428,G05B19/042
10642265,System and method for controlling autonomous construction vehicles,Systems and methods for monitoring and controlling multiple autonomous construction vehicles on a work site are described. The systems include a command and control station located on a mobile construction vehicle working on the worksite. The command and control station provides the ability to control operation of the autonomous construction vehicles.,20200505,G05D1/00
10664242,Application development engine and method of performing same,"An application platform of mobile video-messaging provides a standardized and automated process for building customized applications on independent deployed platforms across various industry verticals including sport, entertainment, tourism, health, safety, education, business, and politics. The branding application platform may be used to create a plurality of different types of applications of different categories, based on needs and wants defined by an operating entity.",20200526,G06F8/30
10682989,Automated car wash conveyor system and methods thereto,"The disclosed technology includes systems and methods for monitoring a vehicle's position as the vehicle is traversed through an automated car wash system via a conveyor system and can comprise one or more sensors located in a tunnel of the automated car wash system. Embodiments can include targeting specific portions of the vehicle with water and chemical dispensers, washers, and dryers. Embodiments can include determining whether a vehicle deviates from a predetermining conveyor path or from a predetermined spacing with respect to an adjacent vehicle, and if so, initiating measures to prevent a collision.",20200616,B60S3/00
10692365,Intelligent road infrastructure system (IRIS): systems and methods,"The invention provides systems and methods for an Intelligent Road Infrastructure System (IRIS), which facilitates vehicle operations and control for connected automated vehicle highway (CAVH) systems. IRIS systems and methods provide vehicles with individually customized information and real-time control instructions for vehicle driving tasks such as car following, lane changing, and route guidance. IRIS systems and methods also manage transportation operations and management services for both freeways and urban arterials. The IRIS manages one or more of the following function categories: sensing, transportation behavior prediction and management, planning and decision making, and vehicle control. IRIS is supported by real-time wired and/or wireless communication, power supply networks, and cyber safety and security services.",20200623,B60Q1/54
10727930,Radio repeater selection apparatus and machine learning device,"A machine learning device included in a radio repeater selection apparatus has: a state monitoring unit that monitors, as state variables representing multiplexed communication path data specifying a construction state of a multiplexed communication paths and multiplexed radio communication state data specifying a state of multiplexed radio communication among devices to be managed; a determination data acquisition unit that acquires determination data designating a result of determination on whether or not the construction state of the multiplexed communication paths is appropriate; and a learning unit that learns the construction state of the multiplexed communication paths and the multiplexed radio communication state data in association with each other on the basis of the state variables and the determination data.",20200728,G06N20/00
10732011,Apparatus and system for building monitoring,"Methods, apparatus, systems and articles of manufacture are disclosed herein including a monitoring system for a building including an in-wall guide for a drone, the in-wall guide extending behind at least one wall from a first location to a second location and a power delivery circuit in, or adjacent, the in-wall guide.",20200804,G01D11/30
10738456,Robust device for spreading sand at predetermined dimensions and for placing ducts in a sewerage channel,"The application relates to a robust self-propelled device, having an oblong shape and a self-supporting housing ( 1 ) of the exoskeleton type, having attached a winch ( 10 ) and that is supported by a rail track ( 8 ), comprising active parts and supporting parts: a levelling blade ( 2 ) connected by means of swiveling rods ( 9 ) to the housing exoskeleton and in the top part thereof to a laser receiver ( 6 ) by a removable graduated rod ( 5 ), also in the rear part it is provided with an active device for placing ducts ( 3 ). The said device is operated by an actuating and control panel ( 7 ), mounted by means of a removable supporting rod ( 4 ). The said device serving to eliminate the need for the human presence in the sewerage channel, preventing the risk of accidents, increasing the construction rate, increasing the accuracy in laying the sand base and also placing the sewerage duct on the sand base.",20200811,E02F3/76
10742874,"Imaging plan generation device, imaging plan generation method, and program","Disclosed are an imaging plan generation device, an imaging plan generation method, and a program that generate an imaging plan for efficiently imaging captured images for use in inspection of a bridge without omission. An imaging plan generation device ( 400 ) includes a space information acquisition unit ( 401 ) that acquires space information of a panel, a first decision unit ( 403 ) that decides a plurality of deck slab imaging positions and postures of a camera based on the space information of the panel, a second decision unit ( 405 ) that decides, based on the space information of the panel, a plurality of steel member imaging positions and postures of the camera in imaging a plurality of joint portions of steel members with the camera, and an imaging plan generation unit ( 407 ) that generates an imaging plan of a camera-equipped mobile robot based on the plurality of deck slab imaging positions and postures decided by the first decision unit and the plurality of steel member imaging positions and postures decided by the second decision unit.",20200811,B25J13/00
10761894,Methods and systems for automated monitoring and control of adherence parameters,"Exemplary embodiments relate to systems for building a model of changes to data items when information the data items is limited or not directly observed. Exemplary embodiments allow properties of the data items to be inferred using a single data structure and creates a highly granular log of changes to the data item. Using this data structure, the time-varying nature of changes to the data item can be determined. The data structure may be used to identify characteristics associated with a regularly-performed action, to examine how adherence to the action affects a system, and to identify outcomes of non-adherence. Fungible data items may be mapped to a remediable condition or remedy class. This may be accomplished by automatically deriving conditions and remedial information from available information, matching the conditions to remedial classes or types via a customizable mapping, and then calculating adherence for the condition on the available information.",20200901,G06F16/9035
10776880,Systems and methods for dynamic real-time analysis from multi-modal data fusion for contextual risk identification,"Disclosed is a system and method to automatically identify property-related risks through the use of computer vision, sensors, and/or building information models (BIMs). The ability to automatically identify a variety of hazards helps mitigate the associated risks, and thus reduces the number of accidents or fatalities that would otherwise occur. In some embodiments, a “risk map” can be generated by mapping the identified risks for a given property.",20200915,G06K9/00
10778517,System and method for validating correctness of changes to network device configurations,"A network configuration change validation environment is disclosed. In particular, this disclosure is related to an interface to initiate automated test actions (e.g., network monitoring commands, application monitoring commands, etc.) and to view results in an efficient manner to support a network communication infrastructure. In one example, results of a set of commands executed prior to a configuration change may serve as a baseline and one or more results of the same set of commands may be intelligently compared to the baseline to identify any potential issues that have arisen. For example, as a result of a specific network configuration change or application update. The disclosed network change validation command initiator and validation report viewer represent part of an overall network configuration change validation environment that includes automated techniques such that it may be used within a given change window.",20200915,H04L12/24
10778601,Automated assurance analysis providing feedback to orchestration of resources in virtualization infrastructure,"At least one processing platform comprises virtualization infrastructure, an assurance module, an orchestration module, and an analytic engine coupled to the assurance module and the orchestration module. The assurance module is configured to monitor resources provided using the virtualization infrastructure under the control of the orchestration module. The analytic engine is configured to process monitoring results from the assurance module and to generate corresponding feedback to the orchestration module. The feedback to the orchestration module is utilized for at least one of adjusting one or more characteristics of the resources provided using the virtualization infrastructure, and performing one or more orchestration operations relating to the resources provided using the virtualization infrastructure. A topology module may be coupled to the analytic engine and configured to generate topology information relating to the resources. The topology information is utilized by the analytic engine in generating the feedback to the orchestration module.",20200915,H04L12/917
10783680,Server-based management of robotic pipe inspection data and analysis reports,"An embodiment provides for storing, in a server, pipe segment data, e.g., pipe scan data derived from a pipe inspection robot that traversed through an interior of the segment of pipe. The pipe scan data may include three-dimensional (3D) and two-dimensional (2D) image data of the interior of the segment of pipe, where the 2D image data includes a flat graph formed from the 3D image data. In one example, infrastructure summary data is stored in the server, including a level of corrosion and a level of sediment buildup determined based on the pipe scan data. An infrastructure project summary report is based on the infrastructure summary data, and after receiving a request from a client device, the pipe segment data and the infrastructure project summary report are transmitted to the client device.",20200922,B23K9/095
10803745,Systems and methods for implementing multimodal safety operations with an autonomous agent,"A system and method includes an autonomous agent having a communication interface that enables the autonomous agent to communicate with a plurality of infrastructure sensing devices; a plurality of distinct health monitors that monitor distinct operational aspects of the autonomous agent; an autonomous state machine that computes a plurality of allowed operating states of the autonomous agent based on inputs from the plurality of distinct health monitors; a plurality of distinct autonomous controllers that generate a plurality of distinct autonomous control instructions; and an arbiter of autonomous control instructions that: collects, as a first input, the plurality of autonomous control instructions generated by each of the plurality of distinct autonomous controllers; collects, as a second input, data relating to the plurality of allowed operating state of the autonomous agent; and selectively enables only a subset of the autonomous control instructions to pass to driving components of the autonomous agent.",20201013,G05D1/00
10805396,Method and apparatus for biologically inspired autonomous infrastructure monitoring,"A method and apparatus are provided for autonomously detecting and reporting anomalies in actions of an autonomous mobile node, or in behaviors of a swarm of autonomous mobile nodes to an operator. The autonomous mobile node may experience anomalies or unexpected situations due to various failures or external influence (e.g. natural weather phenomena, enemy threats). During a training phase a prediction model and a structured model may be established from measurement data received from one or more sensors of an autonomous mobile node or a swarm of nodes while executing an action or behavior under normal circumstances. A prediction model forecasts the expected outcome of an action or behavior, and structured model helps quantify the similarity of a learned action or behavior to the currently observed situation. Based on the measurement data applicable models can be used for an action or behavior for anomaly detection in the action or behavior.",20201013,G05D1/00
10817402,Method and system for automated building of specialized operating systems and virtual machine images based on reinforcement learning,"Methods and systems for building an optimized image for an application are provided. An operating system is decomposed into granular modules. An initial configuration file to a build system is provided. The build system builds an initial image including initial modules for the application based on the initial configuration file. A monitoring system monitors performance indicators for the initial image. Using a machine learning algorithm, a subsequent configuration file based on the performance indicators is derived. The build system, builds a subsequent image for the application.",20201027,G06F11/36
10821971,Autonomous vehicle automatic parking,"Methods and systems for monitoring use, determining risk, and pricing insurance policies for a vehicle having one or more autonomous or semi-autonomous operation features are provided. According to certain aspects, the operating status of the features, the identity of a vehicle operator, risk levels for operation of the vehicle by the vehicle operator, or damage to the vehicle may be determined based upon sensor or other data. According to further aspects, decisions regarding transferring control between the features and the vehicle operator may be made based upon sensor data and information regarding the vehicle operator. Additional aspects may recommend or install updates to the autonomous operation features based upon determined risk levels. Some aspects may include monitoring transportation infrastructure and communicating information about the infrastructure to vehicles.",20201103,B60W30/06
10825340,Autonomous vehicle maneuver system for emergency vehicles and non-standard traffic flow,"Systems and methods are provided that may to cause autonomous navigation of autonomous vehicles in the case of non-standard traffic flows such as police stops, emergency vehicle passing, construction sites, vehicle collision sites, and other non-standard road conditions. An entity associated with the non-standard traffic flow (e.g., an emergency vehicle, road sign, barrier, etc.) may transmit or broadcast a control signal to be received (or otherwise detected) at one or more autonomous vehicles. Each autonomous vehicle, upon receiving the control signal, may autonomously navigate in accordance with the control signal, thus mitigating or eliminating dangers associated with non-standard traffic flows.",20201103,G05D1/00
10831191,Autonomous vehicle accident and emergency response,"Methods and systems for monitoring use, determining risk, and pricing insurance policies for a vehicle having one or more autonomous or semi-autonomous operation features are provided. According to certain aspects, the operating status of the features, the identity of a vehicle operator, risk levels for operation of the vehicle by the vehicle operator, or damage to the vehicle may be determined based upon sensor or other data. According to further aspects, decisions regarding transferring control between the features and the vehicle operator may be made based upon sensor data and information regarding the vehicle operator. Additional aspects may recommend or install updates to the autonomous operation features based upon determined risk levels. Some aspects may include monitoring transportation infrastructure and communicating information about the infrastructure to vehicles.",20201110,A61B5/00
10834610,Managing LTE network capacity,"Systems and methods are described for monitoring performance and allocating resources to improve the performance of a wireless telecommunications network. A wireless telecommunications network may be comprised of base stations and other infrastructure equipment, which may be sourced from various suppliers. Users may generate traffic on the wireless network, and performance metrics relating to the user experience may be collected from individual base stations. The set of available metrics for a particular base station may vary according to the supplier. A machine learning model is thus trained using metrics from multiple base stations, and used to estimate values for metrics that a particular base station does not provide. The metrics are then further characterized according to the service classes of the users, and resources for improving the performance of base stations are allocated according to the reported and estimated metrics for various service classes.",20201110,H04B17/309
10846167,Automated issue remediation for information technology infrastructure,"Automated issue remediation for information technology infrastructure comprises invoking an application programming interface to obtain at least one issue object corresponding to an alert generated by a monitoring system; matching the issue object to at least one diagnosis plugin of a plurality of diagnosis plugins; obtaining a prescription object from the diagnosis plugin, the prescription object comprising a remedy; and invoking the remedy after verifying the remedy is authorized to proceed.",20201124,G06F11/07
10853931,System and method for structural inspection and construction estimation using an unmanned aerial vehicle,"An automated image capturing and processing system and method may allow a field user to operate a UAV via a mobile computing device to capture images of a structure area of interest (AOI). The mobile computing device receives user and/or third party data and creates UAV control data and a flight plan. The mobile computing device executes a flight plan by issuing commands to the UAV's flight and camera controller that allows for complete coverage of the structure AOI. After data acquisition, the mobile computing device then transmits the UAV output data to a server for further processing. At the server, the UAV output data can be used for a three-dimensional reconstruction process. The server then generates a vector model from the images that precisely represents the dimensions of the structure. The server can then generate a report for inspection and construction estimation.",20201201,B64C39/02
10867512,Intelligent road infrastructure system (IRIS): systems and methods,"The invention provides systems and methods for an Intelligent Road Infrastructure System (IRIS), which facilitates vehicle operations and control for connected automated vehicle highway (CAVH) systems. IRIS systems and methods provide vehicles with individually customized information and real-time control instructions for vehicle to fulfill the driving tasks such as car following, lane changing, and route guidance. IRIS systems and methods also manage transportation operations and management services for both freeways and urban arterials. In some embodiments, the IRIS comprises or consists of one of more of the following physical subsystems: (1) Roadside unit (RSU) network, (2) Traffic Control Unit (TCU) and Traffic Control Center (TCC) network, (3) vehicle onboard unit (OBU), (4) traffic operations centers (TOCs), and (5) cloud information and computing services. The IRIS manages one or more of the following function categories: sensing, transportation behavior prediction and management, planning and decision making, and vehicle control. IRIS is supported by real-time wired and/or wireless communication, power supply networks, and cyber safety and security services.",20201215,B60W30/165
10871444,Inspection and failure detection of corrosion under fireproofing insulation using a hybrid sensory system,"A system for predicting and detecting of corrosion under fireproof insulation (CUF) in an infrastructure asset comprises a first detection apparatus adapted to capture thermal images of the asset, a second detection apparatus adapted to receive THz radiation from the asset, and at least one ambient condition sensor for detecting environmental conditions at a location of the asset, a communication device coupled to the first and second detection apparatus and at least one ambient condition sensor to receive data therefrom and adapted to communicate the received data, and a computing device communicatively coupled to the communication device and configured with instructions for executing a machine learning algorithm taking as inputs the thermal image, THz and ambient condition data received from the communication device, and to output a CUF prediction regarding the asset.",20201222,G01N17/00
10880623,Method and system for utility power lines vegetation proximity monitoring and controlling,"The present invention provides a method and system for automated vegetation growth, condition and status monitoring near high voltage utility electric lines using stationary sensors, wireless or wired communications and computation technologies and proprietary algorithms. The method and system of the current invention monitors the power line infrastructures remotely and advises the vegetation maintenance crews on mitigating actions without requiring human interventions, thus saving cost and reducing risks to the humans and environment. A comprehensive vegetation encroachment condition report with vegetation proximity advisory (VPA) and vegetation resolution advisory (VRA) is automatically generated and transmitted to the operational staff by the system for each electric line span at certain time interval or continuously without boots-on-the-ground manual asset inspection and/or air patrol using aircraft. This current invention is an automated, safer and low-cost solution to an electric utility industry's essential reliability and compliance related business process.",20201229,G06K9/00
10892961,Application- and infrastructure-aware orchestration for cloud monitoring applications,"Herein are computerized techniques for autonomous and artificially intelligent administration of a computer cloud health monitoring system. In an embodiment, an orchestration computer automatically detects a current state of network elements of a computer network by processing: a) a network plan that defines a topology of the computer network, and b) performance statistics of the network elements. The network elements include computers that each hosts virtual execution environment(s). Each virtual execution environment hosts analysis logic that transforms raw performance data of a network element into a portion of the performance statistics. For each computer, a configuration specification for each virtual execution environment of the computer is automatically generated based on the network plan and the current state of the computer network. At least one virtual execution environment is automatically tuned and/or re-provisioned based on a generated configuration specification.",20210112,G06F9/455
10902207,Identifying application software performance problems using automated content-based semantic monitoring,"Embodiments are directed to computer-implemented methods of operating a monitoring host of a performance management infrastructure. The method includes receiving, using natural language processing (NLP) algorithms, training data that includes operational data and functionality data. The operational data represents natural language descriptions of performance problems identified for an application computer program running a computing system. The functionality data represents natural language descriptions of functional capabilities of the application computer program. The NLP algorithms and a classifier are used to extract features of the training data. The extracted features are used to build a semantic correlation model that includes correlated data sets, wherein each of the correlated data sets includes functionality data and operational data having a semantic correlation to functionality data. One of the correlated data sets is selected and used to create an application monitoring algorithm configured to submit requests to and receive responses from the application computer program.",20210126,G06F16/35
10909866,Autonomous transportation system and methods,"Autonomous and manually operated vehicles are integrated into a cohesive, interactive environment, with communications to each other and to their surroundings, to improve traffic flow while reducing accidents and other incidents. All vehicles send/receive messages to/from each other, and from infrastructure devices, enabling the vehicles to determine their status, traffic conditions and infrastructure. The vehicles store and operate in accordance with a common set of rules based upon the messages received and other inputs from sensors, databases, and so forth, to avoid obstacles and collisions based upon current and, in some cases, future or predicted behavior. Shared vehicle control interfaces enable the AVs to conform to driving activities that are legal, safe, and allowable on roadways. Such activities enable each AV to drive within safety margins, speed limits, on allowed or legal driving lanes and through allowed turns, intersections, mergers, lane changes, stops/starts, and so forth.",20210202,B60W10/04
10917168,"Optical fiber sensing systems, methods, structures and applications","Aspects of the present disclosure describe systems, methods and structures and applications of optical fiber sensing. Of significance, systems, methods, and structures according to aspects of the present disclosure may reuse and/or retrofit/upgrade existing optical fiber cables as part of optical fiber sensing that may find important societal application including intrusion detection, road traffic monitoring and infrastructure health monitoring. Combining such optical fiber sensing with artificial intelligence (AI) further enables powerful applications at low(er) cost.",20210209,G01H9/00
10917483,Automated communication-based intelligence engine,"A system that creates and automatically builds one or more entity models that are derived from communication-based information received over a network. Building the entity models uses machine learning, a user interface, a sentiment analyzer, a communication monitoring agent and an automated bot. Bots are created based on a bot template. New communication-based information is analyzed and processed to improve the entity model, to keep the bot up-to-date, and to update other services and products that the entity relies on. The system enables a business to cluster other entities together to assist in identifying competitors. The system provides analytical information about how users journey through an entity model. The system automatically maintains listings such as frequently asked questions. The system works in a networked environment, which may be a distributed network.",20210209,G06Q30/02
10925536,Systems of centralized data exchange for monitoring and control of blood glucose,"A flexible system capable of utilizing data from different monitoring techniques and capable of providing assistance to patients with diabetes at several scalable levels, ranging from advice about long-term trends and prognosis to real-time automated closed-loop control (artificial pancreas). These scalable monitoring and treatment strategies are delivered by a unified system called the Diabetes Assistant (DiAs) platform. The system provides a foundation for implementation of various monitoring, advisory, and automated diabetes treatment algorithms or methods. The DiAs recommendations are tailored to the specifics of an individual patient, and to the patient risk assessment at any given moment. A central data exchange node or server collects patient data from individual DiAs devices and provides safety assurance, monitoring, telemedicine and database building for the DiAs system.",20210223,A61B5/00
10929193,Methods and systems for automated monitoring and control of adherence parameters,"Exemplary embodiments relate to systems for building a model of changes to data items when information the data items is limited or not directly observed. Exemplary embodiments allow properties of the data items to be inferred using a single data structure and creates a highly granular log of changes to the data item. Using this data structure, the time-varying nature of changes to the data item can be determined. The data structure may be used to identify characteristics associated with a regularly-performed action, to examine how adherence to the action affects a system, and to identify outcomes of non-adherence. Fungible data items may be mapped to a remediable condition or remedy class. This may be accomplished by automatically deriving conditions and remedial information from available information, matching the conditions to remedial classes or types via a customizable mapping, and then calculating adherence for the condition on the available information.",20210223,G06F16/9035
10943464,Real property monitoring systems and methods for detecting damage and other conditions,"Machine learning systems, methods, and techniques for detecting damage and/or other conditions associated with a building, land, structure, or other real property using a real property monitoring system are disclosed. The property monitoring system is used in conjunction with machine learning techniques to determine and/or predict various conditions associated with the real property, including particular damage thereto, e.g., based upon dynamic characteristic data obtained via on-site sensors, static characteristic data, third-party input descriptive of an event impacting the building, etc. Accordingly, damage and/or loss associated with the building/real property is more quickly and/or accurately ascertained so that suitable mitigation techniques may be applied. In some scenarios, previously undetectable or uncharacterized damage and/or other conditions may be discovered and mitigated.",20210309,G06N20/00
10962133,Universal automated regulator valve with remote monitoring and control,"A water or gas system for a home or commercial building receives water and gas at higher pressures than they can handle in the building or home. The automated regulation device monitors the regulator 24 hours a day, seven days a week so the second there is a failure with pressure, flow, temperature, seismic it recognizes it, notifies you via email, text, etc . . . shuts the system down at same time. There are gas and water sensors for leaks also there is a seismic sensor in the unit for earthquakes, and a pressure sensing switch with digital readout. The unit is capable of running by itself, on solar panel and a battery or being wired in to the system dependent upon application. The unit is also controlled by user via telephone or other remote devices.",20210330,F16K31/04
10967970,Durable modular unmanned aerial vehicle,An unmanned aerial vehicle (UAV) includes a fuselage that supports breakaway components that are attached using magnets. One component is a battery pack which powers the vehicle. Another component is a rotor set including two identical pod pairs that each support a motor and a propeller. Each motor is attached to a hub assembly that includes a plurality of spokes captured in a motor hub and sandwiched by a rigid motor printed circuit board on top and a rigid hub plate. The hub assembly construction is rigid in plane and functions to keep the motor firmly stable during operation. The hub assembly is compliant and resilient when impacted parallel to the plane. Other features of the pod pairs encage the otherwise dangerous spinning propeller. This allows the vehicle to operate with a higher level of safety than conventional UAVs.,20210406,B64C27/20
10977740,Systems and methods for dynamic real-time analysis from multi-modal data fusion for contextual risk identification,"Disclosed is a system and method to automatically identify property-related risks through the use of computer vision, sensors, and/or building information models (BIMs). The ability to automatically identify a variety of hazards helps mitigate the associated risks, and thus reduces the number of accidents or fatalities that would otherwise occur. In some embodiments, a “risk map” can be generated by mapping the identified risks for a given property.",20210413,G06K9/00
10997329,Motion sensing wi-fi sensor networks for continuous 3D modeling and prediction of facility responses to disturbances,"Structural health monitoring (SHM) is essential but can be expensive to perform. In an embodiment, a method includes sensing vibrations at a plurality of locations of a structure by a plurality of time-synchronized sensors. The method further includes determining a first set of dependencies of all sensors of the time-synchronized sensors at a first sample time to any sensors of a second sample time, and determining a second set of dependencies of all sensors of the time-synchronized sensors at the second sample time to any sensors of a third sample time. The second sample time is later than the first sample time, and the third sample time is later than the second sample time. The method then determines whether the structure has changed if the first set of dependencies is different from the second set of dependencies. Therefore, automated SHM can ensure safety at a lower cost to building owners.",20210504,G01H1/00
10999180,System for defining and implementing performance monitoring requirements for applications and hosted computing environment infrastructure,"Object automated determination of monitors associated with a component (i.e., application/software, middleware, hardware or the like) that has yet to be implemented within a computing environment infrastructure. Such a determination of the monitors relies on deploying one or more probes that scan through various, if not all, layers of the computing environment infrastructure, such as the hardware, the network, storage, operating systems, virtual layer, middleware, database, application layer, and/or the application to identify possible monitoring requirements. In this regard, the probes scan the environment to determine downstream services that effect the component and the upstream services effected by the component and the set-up/configurations associated with those services. Once the services and corresponding configurations have been identified, the appropriate monitors can be determined. In addition, automated determination of the monitoring configurations associated with the monitors based at least historical behavior/performance of the same or similar components in the computing environment.",20210504,G06F11/00
11001319,Mobile robot for locomotion through a 3-D periodic lattice environment,"A class of robots specifically adapted to climb periodic lattices. These “relative robots” are designed for a specific lattice structure and use the regularity of the structure to simplify path planning, align with minimal feedback, and reduce the number of degrees of freedom (DOF) required to locomote. These robots can perform vital inspection and repair tasks within the structure that larger truss construction robots cannot perform without modifying the structure. A particular embodiment is a robot designed to traverse a cubooctahedral (CubOct) cellular solids lattice using only two motions: climbing and turning.",20210511,B25J11/00
11001979,Methods and apparatus for ultrawide entrance angle reflective articles for use with autonomous vehicle machine vision systems,A two-layer retroreflective article construction is enabled that produces higher wide-entrance-angle performance for signs and pavement markings. A single-layer overlay is enabled for existing signs and pavement markers that improve their entrance angle performance. Materials used in the construction of an article or an overlay are transparent to radiation in the range of 400 to 1000 nanometers and utilize TIR (total internal reflection). Minimum performance specifications are proposed that extend sign sheeting retroreflectivity specifications to entrance angles of 60 degrees. An innovative traffic sign design is enabled that increases the positioning performance of safety systems and automated navigation systems.,20210511,E01F9/512
